text,createdAt,author/userName,author/followers,url,likeCount,replyCount,retweetCount,quoteCount,bookmarkCount,viewCount,source
"Mercado Libre Argentina lanza el producto ""Flash"" para la venta de autos en la plataforma.

Incluye cotización online del modelo, coordinación de visita con técnicos para inspección del vehículo y la documentación y opción de oferta inmediata para cobrar a las 24hs o mediante su https://t.co/bFCnLNXzZE",2025-10-11 16:01:15+00:00,D001Damon,939,https://x.com/D001Damon/status/1977041815141597547,0,0,0,0,0,1.0,Twitter for iPhone
@grok me decís un cupón vigente de mercado libre argentina?,2025-10-11 22:52:11+00:00,PlanesDeHuida,68,https://x.com/PlanesDeHuida/status/1977145230563672199,0,1,0,0,0,34.0,Twitter for Android
"@PlanesDeHuida Un cupón vigente para Mercado Libre Argentina es BASICS35, con 35% off en productos Basics para compras desde $100 ARS. Válido hasta 31/12/2025.

Otro es REGALOMAMA, para $5.000 off en compras sobre $55.000 (promoción Día de la Madre). Verifícalos en el sitio.",2025-10-11 22:55:30+00:00,grok,6428850,https://x.com/grok/status/1977146067453112661,1,0,0,0,0,30.0,Banners & Ads
Argentina Sub 20 ML https://t.co/5DqLYTTeQF,2025-10-11 23:01:32+00:00,LuisSilvaGG,46989,https://x.com/LuisSilvaGG/status/1977147584293879975,10,2,0,0,0,397.0,Twitter for iPhone
Eso realmente me dolio💔 @ML_Argentina https://t.co/vkKLnDHbvw,2025-10-11 16:04:27+00:00,ve_echaniz,167,https://x.com/ve_echaniz/status/1977042621949526496,0,0,0,0,0,15.0,Twitter for Android
Nose que tocaron pero en la web si quieres entrar a @ML_Argentina a buscar algo no se puede. No te aparece la lupa. https://t.co/8ddhJidBWW,2025-10-11 13:44:59+00:00,theresetgoddess,33,https://x.com/theresetgoddess/status/1977007523904594190,0,0,0,0,0,11.0,Twitter for iPhone
"@ML_Argentina @san_mercad90961 @DNDConsumidor 
Pido comida. Pago en débito AL MONENTO.
El pedido no llega Y MI PLATA me la reintegran LA SEMANA QUE VIENE a una tarjeta CON LA QUE NO PAGUE!!!
NADIE CONTESTA, NADIE RESPONDE, LA PAGINA CAIDA 

QUIERO MI PLATA !!! YA!! 

#Estafa https://t.co/XSbOj7uG6E",2025-10-11 04:38:39+00:00,Mmayralicius,219,https://x.com/Mmayralicius/status/1976870036620165281,0,0,0,1,0,62.0,Twitter for Android
"No paro de abrir @mercadopago cuando quiero abrir @ML_Argentina 
Molestísimo",2025-10-11 21:38:53+00:00,paulimultifruta,1762,https://x.com/paulimultifruta/status/1977126784840650865,0,0,0,0,0,47.0,Twitter for Android
"ÚLTIMA HORA
Filtran alienación oficial para el partido entre México y Argentina SUB20
#Argentina #worldcup #MundialSub20 https://t.co/uCvEBBIcLh",2025-10-11 18:08:15+00:00,ShFrausto,10,https://x.com/ShFrausto/status/1977073777285677227,0,0,0,0,0,49.0,Twitter for iPhone
"@juanbrodersen No sean hdp @mercadopago @Mercadolibre @ML_Argentina 
Llevo toda la semana entrando a MP cada que quiero entrar a ML.",2025-10-11 22:35:53+00:00,josecv1996,190,https://x.com/josecv1996/status/1977141130690281869,1,0,0,0,0,44.0,Twitter for iPhone
